  Ref #,Carrier,Service Level,Tracking #,Status,Ship Date,Location,To ID,To Company,Discounted Cost,Published Cost,Marked Up Cost,Payment Type,Shipment Type,Delivery Status,Last Updated By,Last Updated Date,Comments
912,FedEx,FedEx 2 Day,Unknown,draft,2025-12-18 14:01:17,NA Spare Parts,Unknown,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-12-19 00:31:22,0
911,FedEx,FedEx 2 Day,Unknown,draft,2025-12-18 14:01:07,NA Spare Parts,Unknown,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-12-19 00:31:14,0
910,FedEx,FedEx 2 Day,Unknown,draft,2025-12-18 14:00:11,NA Spare Parts,Unknown,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-12-19 00:30:31,0
909,FedEx,FedEx 2 Day,Unknown,draft,2025-12-18 14:00:01,NA Spare Parts,Unknown,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-12-19 00:30:08,0
904,UPS,UPS Ground,Unknown,draft,2025-12-18 12:31:19,NA Spare Parts,D&W-8,D&W-Aberdeen Township,0.0,0.0,0.0,thirdparty,Outbound,pending,Pritesh Shah,2025-12-18 23:01:26,0
905,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-18 14:33:41,NA Spare Parts,D&W-8,D&W-Aberdeen Township,0.0,0.0,0.0,thirdparty,Outbound,shipped,Pritesh Shah,2025-12-19 01:04:02,0
903,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-18 14:32:16,NA Spare Parts,Unknown,Test,58.69,113.53,70.43,sender,Outbound,shipped,Pritesh Shah,2025-12-19 01:03:02,0
902,UPS,UPS Worldwide Saver,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-18 14:28:54,NA Spare Parts,AID672847499,Deutsches Museum,515.93,521.14,619.12,sender,Outbound,shipped,Pritesh Shah,2025-12-19 01:01:17,0
901,SAIA,Standard,999999999993,shipped,2025-12-18 14:25:58,NA Spare Parts,Unknown,Paccable Corp.,691.03,6507.01,829.24,sender,Outbound,shipped,Pritesh Shah,2025-12-19 00:57:26,0
900,FedEx,FedEx Express Saver,794631145864,shipped,2025-12-18 14:18:15,NA Spare Parts,Unknown,ADAMS CO.,164.33,164.33,197.2,sender,Outbound,shipped,Pritesh Shah,2025-12-19 00:51:55,0
800005-1,Unknown,Unknown,Unknown,draft,2025-12-18 14:01:48,Unknown,AID672847499,Dental Delights,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2025-12-18 14:01:45,0
11-UPSTPB-2,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-17 21:17:48,NA Spare Parts,D&W-8,D&W-Aberdeen Township,0.0,0.0,0.0,thirdparty,Outbound,shipped,Pritesh Shah,2025-12-18 07:47:54,0
11-UPSTPB-1,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-17 21:16:41,NA Spare Parts,D&W-8,D&W-Aberdeen Township,0.0,0.0,0.0,thirdparty,Outbound,shipped,Pritesh Shah,2025-12-18 07:47:06,0
903-27,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-17 16:01:26,NA Spare Parts,Unknown,Test,58.69,113.53,70.43,sender,Outbound,shipped,Logan Sappington,2025-12-18 02:31:41,0
888,SAIA,Guaranteed by 5 PM,999999999993,shipped,2025-12-17 15:16:33,NA Spare Parts,105900,Paccable Corp.,1523.41,13641.42,1828.09,sender,Outbound,shipped,Logan Sappington,2025-12-18 01:49:25,0
724,UPS,UPS Worldwide Saver,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-17 15:11:19,NA Spare Parts,AID672847499,Deutsches Museum,1062.08,1072.81,1274.5,sender,Outbound,shipped,Logan Sappington,2025-12-18 01:43:07,0
800-1,Unknown,Unknown,Unknown,draft,2025-12-17 15:09:20,Unknown,105900,Paccable Corp.,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2025-12-18 01:39:20,0
906,CloudLeap Truck,Unknown,Unknown,draft,2025-12-17 14:23:02,NA Spare Parts,AID752821231,Knightriders,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-12-18 01:06:09,0
905,USPS Stamps,Media Mail,Unknown,draft,2025-12-17 14:22:29,NA Spare Parts,Unknown,300 S Civic Center Dr,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-12-18 00:52:53,0
903,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-17 15:20:30,NA Spare Parts,Unknown,Test,58.69,113.53,70.43,sender,Outbound,shipped,Pritesh Shah,2025-12-18 01:51:16,0
902,UPS,UPS Worldwide Saver,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-17 15:25:13,NA Spare Parts,AID672847499,Deutsches Museum,515.93,521.14,619.12,sender,Outbound,shipped,Pritesh Shah,2025-12-18 01:55:31,0
901,SAIA,Standard,Unknown,draft,2025-12-17 14:01:46,NA Spare Parts,Unknown,Paccable Corp.,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-12-18 00:31:50,0
900,FedEx,FedEx 2 Day,794630897420,shipped,2025-12-17 14:53:20,NA Spare Parts,Unknown,ADAMS CO.,198.1,198.1,237.72,sender,Outbound,shipped,Pritesh Shah,2025-12-18 01:27:38,0
800005-P1,ESTES,Standard,0868298293,canceled,2025-12-17 13:38:14,NA Spare Parts,AID672847499,Dental Delights,513.25,513.25,615.9,sender,Outbound,canceled,Bhavana Musuluri,2025-12-17 13:44:36,0
905-5,USPS Stamps,Priority Mail,9405550899563317513507,canceled,2025-12-16 14:54:15,NA Spare Parts,Unknown,300 S Civic Center Dr,10.86,10.86,13.03,sender,Outbound,canceled,Pritesh Shah,2025-12-17 01:26:15,0
905,USPS Stamps,Media Mail,Unknown,draft,2025-12-16 14:56:27,NA Spare Parts,Unknown,300 S Civic Center Dr,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-12-17 01:26:33,0
900,FedEx,FedEx 2 Day A.M.,794630724833,shipped,2025-12-16 15:35:25,NA Spare Parts,Unknown,ADAMS CO.,232.34,232.34,278.81,sender,Outbound,shipped,Pritesh Shah,2025-12-17 02:06:43,0
901,SAIA,Standard,999999999993,shipped,2025-12-17 15:03:12,NA Spare Parts,Unknown,Paccable Corp.,691.03,6507.01,829.24,sender,Outbound,shipped,Pritesh Shah,2025-12-18 01:43:58,0
903,UPS,UPS Ground,Unknown,draft,2025-12-16 14:47:15,NA Spare Parts,Unknown,Test,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-12-17 01:17:20,0
902,UPS,UPS Worldwide Saver,Unknown,draft,2025-12-16 14:47:06,NA Spare Parts,AID672847499,Deutsches Museum,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-12-17 01:17:11,0
900,FedEx,FedEx 2 Day A.M.,794630718838,shipped,2025-12-16 14:27:35,NA Spare Parts,Unknown,ADAMS CO.,232.34,232.34,278.81,sender,Outbound,shipped,Pritesh Shah,2025-12-17 00:58:39,0
910,CloudLeap Truck,Unknown,Unknown,draft,2025-12-16 13:37:58,NA Spare Parts,AID2099632640,Nachos Inc.,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-12-17 00:17:25,0
905,USPS Stamps,Media Mail,9449050899563000374872,shipped,2025-12-16 13:23:17,NA Spare Parts,Unknown,300 S Civic Center Dr,26.22,26.22,31.46,sender,Outbound,shipped,Pritesh Shah,2025-12-16 23:54:10,0
